TaxPayerCurrencyID,Code,Title,Version,Creator,CreationDate,LastModifier,LastModificationDate,UniversalCode
1,8,لك الباني-ALL,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,ALL
2,12,دينار الجزاير-DZD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,DZD
3,32,پزو آرژانتين-ARS,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,ARS
4,36,دلار استراليا-AUD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,AUD
5,44,دلار باهاماس-BSD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BSD
6,48,دينار بحرين-BHD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BHD
7,50,تاكا بنگلادش-BDT,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BDT
8,51,دام ارمنستان-AMD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,AMD
9,52,دلار باربادوس-BBD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BBD
10,60,دلار برمودا-BMD,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BMD
11,64,انگلتروم بوتان-BTN,1,1,2023-04-02 12:03:23.890000,1,2023-04-02 12:03:23.890000,BTN
12,68,بوليويانو بوليوي-BOB,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,BOB
13,72,پولا بوتساوانا-BWP,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,BWP
14,84,دلار بليز-BZD,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,BZD
15,90,دلار جزاير سليمان-SBD,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,SBD
16,96,دلار برونئي-BND,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,BND
17,104,كيات ميانمار-MMK,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,MMK
18,108,فرانك بوروندي-BIF,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,BIF
19,116,ريل كامبوج-KHR,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,KHR
20,124,دلار كانادا-CAD,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CAD
21,132,اسكودو كيپ ورد-CVE,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CVE
22,136,دلار جزاير كيمن-KYD,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,KYD
23,144,روپيه سريلانكا-LKR,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,LKR
24,152,پزو شيلي-CLP,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CLP
25,156,يوان چين-CNY,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CNY
26,170,پزو كلمبيا-COP,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,COP
27,174,فرانك كومور-KMF,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,KMF
28,188,كلون كاستاريكا-CRC,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CRC
29,191,كونا كرواسي-HRK,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,HRK
30,192,پزو كوبا-CUP,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CUP
31,203,كرونا جمهوري چك-CZK,1,1,2023-04-02 12:03:23.893000,1,2023-04-02 12:03:23.893000,CZK
32,208,كرون دانمارك-DKK,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,DKK
33,214,پزو دومينيكن-DOP,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,DOP
34,222,كولون السالوادور-SVC,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,SVC
35,230,بير اتيوپي-ETB,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,ETB
36,238,پوند جزاير فالكلند-FKP,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,FKP
37,242,دلار فيجي-FJD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,FJD
38,262,فرانك جيبوتي-DJF,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,DJF
39,270,دالاسي گامبيا-GMD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,GMD
40,320,كوتزل گواتمالا-GTQ,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,GTQ
41,324,فرانك گينه-GNF,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,GNF
42,328,دلار گويان-GYD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,GYD
43,332,گورده هائيتي-HTG,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,HTG
44,340,لمپيرا هندوراس-HNL,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,HNL
45,344,دلار هنگ كنگ-HKD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,HKD
46,348,فورينت مجارستان-HUF,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,HUF
47,352,كرونا ايسلند-ISK,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,ISK
48,356,روپيه هند-INR,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,INR
49,360,روپيه اندونزي-IDR,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,IDR
50,368,دينار عراق-IQD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,IQD
51,388,دلار جامائيكا-JMD,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,JMD
52,392,ين ژاپن-JPY,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,JPY
53,398,تنگه قزاقستان-KZT,1,1,2023-04-02 12:03:23.897000,1,2023-04-02 12:03:23.897000,KZT
54,400,دينار اردن-JOD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,JOD
55,404,شيلينيگ كنيا-KES,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,KES
56,408,وون كره شمالي-KPW,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,KPW
57,410,وون كره جنوبي-KRW,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,KRW
58,414,دينار كويت-KWD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,KWD
59,417,صوم قرقيزستان-KGS,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,KGS
60,418,كيپ لائوس-LAK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,LAK
61,422,پوند لبنان-LBP,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,LBP
62,426,لوتي  لسوتو-LSL,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,LSL
63,430,دلار ليبريا-LRD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,LRD
64,434,دينار ليبي-LYD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,LYD
65,446,پاتاكا ماكائو-MOP,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MOP
66,454,كواچا مالاويا-MWK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MWK
67,458,رينگيت مالزي-MYR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MYR
68,462,روفيا مالديو-MVR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MVR
69,478,اوگوياي موريتاني-MRO,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MRO
70,480,روپيه موريس-MUR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MUR
71,484,پزو مكزيك-MXN,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MXN
72,496,توگريك مغولستان-MNT,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MNT
73,498,لئو مولداوي-MDL,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MDL
74,504,درهم مراكش-MAD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,MAD
75,512,ريال عمان-OMR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,OMR
76,516,دلار ناميبيا-NAD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NAD
77,524,روپيه نپال-NPR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NPR
78,533,فلورين آروبا-AWG,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,AWG
79,548,واتوي  وانواتو-VUV,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,VUV
80,554,دلار نيوزيلند-NZD,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NZD
81,558,كوردوبا نيكاراگوئه-NIO,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NIO
82,566,نايرا نيجريه-NGN,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NGN
83,578,كرون نروژ-NOK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,NOK
84,586,روپيه پاكستان-PKR,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PKR
85,590,بالبوآ پاناما-PAB,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PAB
86,598,كيناي پاپوآ گينه نو-PGK,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PGK
87,600,گواراني پاراگوئه-PYG,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PYG
88,604,سل پرو-PEN,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PEN
89,608,پزو فيليپين-PHP,1,1,2023-04-02 12:03:23.900000,1,2023-04-02 12:03:23.900000,PHP
90,634,ريال قطر-QAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,QAR
91,643,روبل روسيه-RUB,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,RUB
92,646,فرانك رواندا-RWF,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,RWF
93,654,پوند سنت هلن-SHP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SHP
94,678,دوبرا سائوتومه و پرينسيپ-STD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,STD
95,682,ريال عربستان سعودي-SAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SAR
96,690,روپيه سيشل-SCR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SCR
97,694,لئون سيرالئون-SLL,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SLL
98,702,دلار سنگاپور-SGD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SGD
99,704,دونگ ويتنام-VND,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,VND
100,706,شيلينگ سومالي-SOS,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SOS
101,710,راند افريقاي جنوبي-ZAR,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,ZAR
102,748,ليلانگني سوازيلند-SZL,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SZL
103,752,كرون سوئد-SEK,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SEK
104,756,فرانك سوئيس-CHF,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,CHF
105,760,پوند سوريه-SYP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,SYP
106,764,بات تايلند-THB,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,THB
107,776,پاآنگاي تونگا-TOP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TOP
108,780,دلار ترينيداد و توباگو-TTD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TTD
109,784,درهم امارات-AED,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,AED
110,788,دينار تونس-TND,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TND
111,800,شيلينگ اوگاندا-UGX,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,UGX
112,807,دنار مقدونيه-MKD,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,MKD
113,818,پوند مصر-EGP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,EGP
114,826,پوند بريتانيا-GBP,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,GBP
115,834,شيلينگ تانزانيا-TZS,1,1,2023-04-02 12:03:23.903000,1,2023-04-02 12:03:23.903000,TZS
116,840,دلار ايالات متحده-USD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,USD
117,858,پزو اروگوئه-UYU,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,UYU
118,860,صوم ازبكستان-UZS,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,UZS
119,882,تالا ساموا-WST,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,WST
120,886,ريال يمن-YER,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,YER
121,901,دلار تايوان-TWD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TWD
122,934,منات تركمنستان-TMT,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TMT
123,936,سدي غنا-GHS,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,GHS
124,937,بوليوار ونزوئلا-VEF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,VEF
125,938,پوند سودان-SDG,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,SDG
126,941,دينار صربستان-RSD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,RSD
127,946,لئو روماني-RON,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,RON
128,949,ليره تركيه-TRY,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,TRY
129,950,فرانك سي‌اف‌اي آفريقاي ميانه-XAF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XAF
130,951,دلار شرق كارائيب-XCD,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XCD
131,952,فرانك سي‌اف‌اي آفريقاي غربي-XOF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XOF
132,953,فرانك اقيانوس آرام-XPF,1,1,2023-04-02 12:03:23.907000,1,2023-04-02 12:03:23.907000,XPF
133,968,دلار سورينام-SRD,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,SRD
134,971,افغاني افغانستان-AFN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,AFN
135,972,ساماني تاجيكستان-TJS,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,TJS
136,974,روبل بلاروس-BYR,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BYR
137,975,لو بلغارستان-BGN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BGN
138,978,يورو اتحاديه اروپا-EUR,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,EUR
139,980,هريونا اوكراين-UAH,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,UAH
140,981,لاري گرجستان-GEL,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,GEL
141,985,زلوتي لهستان-PLN,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,PLN
142,986,رئال برزيل-BRL,1,1,2023-04-02 12:03:23.910000,1,2023-04-02 12:03:23.910000,BRL
