ItemStockID,ItemRef,StockRef,Version
2054,1859,10,1
2055,1860,10,1
2056,1861,10,1
2057,1862,10,1
2058,1863,10,1
2059,1864,10,1
2060,1865,10,1
2061,1866,10,1
2062,1867,10,1
2063,1868,10,1
2064,1869,10,1
2065,1870,10,1
2066,1871,10,1
2067,1872,10,1
2068,1873,10,1
2070,1875,10,1
2071,1876,10,1
2072,1877,10,1
2073,1878,10,1
2074,1879,10,1
2075,1880,10,1
2076,1881,10,1
2077,1882,10,1
2078,1883,10,1
2079,1884,10,1
2080,1885,10,1
2081,1886,10,1
2082,1887,10,1
2083,1888,10,1
2084,1889,10,1
2085,1890,10,1
2086,1891,10,1
2087,1892,10,1
2088,1893,10,1
2089,1894,10,1
2090,1895,10,1
2091,1896,10,1
2092,1897,10,1
2093,1898,10,1
2094,1899,10,1
2095,1900,10,1
2096,1901,10,1
2097,1902,10,1
2098,1903,10,1
2100,1905,10,1
2101,1906,10,1
2102,1907,10,1
2103,1908,10,1
2104,1909,10,1
2105,1910,10,1
2106,1911,10,1
2107,1912,10,1
2109,1914,10,1
2110,1915,10,1
2111,1916,10,1
2112,1917,10,1
2113,1918,10,1
2114,1919,10,1
2115,1920,10,1
2116,1921,10,1
2117,1922,10,1
2118,1923,10,1
2119,1924,10,1
2120,1925,10,1
2121,1926,10,1
2122,1927,10,1
2123,1928,10,1
2124,1929,10,1
2125,1930,10,1
2126,1931,10,1
2127,1932,10,1
2128,1933,10,1
2132,1937,10,1
2133,1938,10,1
2134,1939,10,1
2135,1940,10,1
2136,1941,10,1
2137,1942,10,1
2138,1943,10,1
2139,1944,10,1
2140,1945,10,1
2141,1946,10,1
2142,1947,10,1
2143,1948,10,1
2145,1950,10,1
2146,1951,10,1
2147,1952,10,1
2148,1953,10,1
2149,1954,10,1
2150,1955,10,1
2151,1956,10,1
2152,1957,10,1
2153,1958,10,1
2155,1960,10,1
2156,1961,10,1
2157,1962,10,1
2158,1963,10,1
2159,1964,10,1
2160,1965,10,1
2161,1966,10,1
2162,1967,10,1
2163,1968,10,1
2164,1969,10,1
2165,1970,10,1
2166,1971,10,1
2167,1972,10,1
2168,1973,10,1
2169,1974,10,1
2170,1975,10,1
2171,1976,10,1
2172,1977,10,1
2173,1978,10,1
2174,1979,10,1
2175,1980,10,1
2176,1981,10,1
2177,1982,10,1
2180,1985,10,1
2181,1986,10,1
2182,1987,10,1
2183,1988,10,1
2184,1989,10,1
2185,1990,10,1
2186,1991,10,1
2187,1992,10,1
2188,1993,10,1
2189,1994,10,1
2190,1995,10,1
2191,1996,10,1
2192,1997,10,1
2193,1998,10,1
2194,1999,10,1
2195,2000,10,1
2196,2001,10,1
2197,2002,10,1
2198,2003,10,1
2199,2004,10,1
2200,2005,10,1
2201,2006,10,1
2202,2007,10,1
2203,2008,10,1
2204,2009,10,1
2205,2010,10,1
2206,2011,10,1
2207,2012,10,1
2208,2013,10,1
2209,2014,10,1
2210,2015,10,1
2211,2016,10,1
2212,2017,10,1
2213,2018,10,1
2214,2019,10,1
2215,2020,10,1
2216,2021,10,1
2217,2022,10,1
2218,2023,10,1
2219,2024,10,1
2220,2025,10,1
2221,2026,10,1
2222,2027,10,1
2223,2028,10,1
2224,2029,10,1
2225,2030,10,1
2226,2031,10,1
2227,2032,10,1
2228,2033,10,1
2229,2034,10,1
2230,2035,10,1
2231,2036,10,1
2232,2037,10,1
2233,2038,10,1
2234,2039,10,1
2235,2040,10,1
2236,2041,10,1
2237,2042,10,1
2238,2043,10,1
2239,2044,10,1
2240,2045,10,1
2241,2046,10,1
2242,2047,10,1
2243,2048,10,1
2244,2049,10,1
2245,2050,10,1
2246,2051,10,1
2247,2052,10,1
2248,2053,10,1
2249,2054,10,1
2250,2055,10,1
2251,2056,10,1
2252,2057,10,1
2253,2058,10,1
2256,2061,10,1
2257,2062,10,1
2258,2063,10,1
2259,2064,10,1
2260,2065,10,1
2261,2066,11,1
2262,2067,11,1
2263,2068,11,1
2264,2069,11,1
2265,2070,11,1
2266,2071,11,1
2267,2072,11,1
2268,2073,11,1
2269,2074,11,1
2270,2075,11,1
2271,2076,11,1
2272,2077,11,1
2273,2078,11,1
2274,2079,11,1
2275,2080,11,1
2276,2081,11,1
2277,2082,11,1
2278,2083,11,1
2279,2084,11,1
2280,2085,11,1
2281,2086,11,1
2282,2087,11,1
2283,2088,11,1
2284,2089,11,1
2285,2090,11,1
2286,2091,11,1
2287,2092,11,1
2288,2093,11,1
2289,2094,11,1
2290,2095,11,1
2292,2097,11,1
2293,2098,11,1
2294,2099,11,1
2295,2100,11,1
2296,2101,11,1
2297,2102,11,1
2298,2103,11,1
2300,2105,10,1
2301,2106,10,1
2302,2107,10,1
2303,2108,10,1
2304,2109,10,1
2305,2110,10,1
2308,2113,10,1
2309,2114,10,1
2314,2119,10,1
2315,2120,10,1
2316,2121,10,1
2322,2124,11,1
2323,2125,11,1
2324,2110,11,1
2325,2113,11,1
2326,2128,11,1
2327,2129,11,1
2328,2130,11,1
2329,2131,11,1
2330,2132,11,1
2331,2133,11,1
2332,2134,11,1
2333,2135,11,1
2334,2136,11,1
2335,2137,11,1
2336,2138,11,1
2338,2140,11,1
2339,1859,11,1
2340,2143,11,1
2341,2146,11,1
2343,2154,12,1
2346,1979,13,1
2347,1979,14,1
2348,2162,10,1
2349,2163,12,1
2350,2164,10,1
2351,2165,12,1
2352,2166,12,1
2353,2167,12,1
2354,2168,12,1
2355,2169,10,1
2356,2170,10,1
2357,2171,12,1
2358,2172,12,1
2359,2173,12,1
2360,2174,12,1
2361,2175,12,1
2362,2176,12,1
2363,2177,12,1
2364,2178,12,1
2365,2179,12,1
2366,2180,12,1
2367,2181,12,1
2368,2182,12,1
2369,2183,12,1
2370,2184,12,1
2371,2185,12,1
2372,2186,12,1
2373,2187,12,1
2374,2188,12,1
2375,2189,12,1
2376,2190,12,1
2377,2191,12,1
2378,2192,12,1
2379,2193,12,1
2380,2195,12,1
2381,2196,12,1
2382,2197,12,1
2383,2198,12,1
2384,2199,12,1
2385,2200,12,1
2386,2201,12,1
2387,2202,12,1
2388,2203,12,1
2389,2204,10,1
2390,2205,10,1
2391,2206,10,1
2392,2207,10,1
2393,2208,10,1
2395,2210,10,1
2396,2211,10,1
2397,2213,10,1
2398,2214,10,1
2399,2215,10,1
2400,2216,10,1
2401,2217,10,1
2405,2221,10,1
2406,2222,10,1
2407,2223,10,1
2408,2224,10,1
2409,2225,10,1
2410,2226,10,1
2411,2227,11,1
2412,2228,10,1
2413,2229,10,1
2414,2230,11,1
2415,2231,10,1
2416,2233,10,1
2417,2234,10,1
2418,2239,10,1
2419,2240,10,1
2428,2110,13,1
2429,2110,14,1
2430,2113,13,1
2431,2113,14,1
2432,2128,10,1
2433,2128,13,1
2434,2128,14,1
2435,2129,10,1
2436,2129,13,1
2437,2129,14,1
2438,2130,10,1
2439,2130,13,1
2440,2130,14,1
2441,2131,10,1
2442,2131,13,1
2443,2131,14,1
2444,2132,10,1
2445,2132,13,1
2446,2132,14,1
2447,2133,10,1
2448,2133,13,1
2449,2133,14,1
2450,2134,10,1
2451,2134,13,1
2452,2134,14,1
2453,2135,10,1
2454,2135,13,1
2455,2135,14,1
2456,2136,10,1
2457,2136,13,1
2458,2136,14,1
2459,2137,10,1
2460,2137,13,1
2461,2137,14,1
2462,2138,10,1
2463,2138,13,1
2464,2138,14,1
2465,2139,10,1
2466,2139,13,1
2467,2139,14,1
2468,2143,10,1
2469,2143,13,1
2470,2143,14,1
2471,2140,10,1
2472,2140,13,1
2473,2140,14,1
2476,2245,10,1
2477,2245,12,1
2478,2246,10,1
2479,2246,13,1
2480,1897,12,1
2481,1898,13,1
2482,1899,14,1
2483,1900,11,1
2484,2247,10,1
2485,2247,11,1
2486,2247,13,1
2487,2247,14,1
2488,2248,10,1
2489,2248,11,1
2490,2248,13,1
2491,2248,14,1
2492,2250,10,1
2493,2251,10,1
2494,2252,10,1
2495,2253,10,1
2496,2254,10,1
2497,2254,13,1
2498,2254,14,1
2499,2255,10,1
2500,2256,10,1
2501,2257,10,1
2502,2257,13,1
2503,2257,14,1
2505,2259,10,1
2506,2260,10,1
2507,2261,10,1
2508,2262,10,1
2509,2263,10,1
2510,2165,10,1
2512,2163,10,1
2513,2219,10,1
2514,1896,13,1
2515,1896,14,1
2516,1961,13,1
2517,1961,14,1
2518,1963,13,1
2519,1963,14,1
2520,1971,13,1
2521,1971,14,1
2522,1973,13,1
2523,1973,14,1
2524,1981,13,1
2525,1981,14,1
2526,1923,13,1
2527,1923,14,1
2528,2214,13,1
2529,2214,14,1
2530,2181,13,1
2531,2181,14,1
2532,1990,13,1
2533,1990,14,1
2534,1863,13,1
2535,1863,14,1
2536,2213,13,1
2537,2213,14,1
2538,2103,13,1
2539,2103,14,1
2540,1988,13,1
2541,1988,14,1
2542,2034,13,1
2543,2034,14,1
2544,1909,13,1
2545,1909,14,1
2546,2105,13,1
2547,2105,14,1
2548,2233,13,1
2549,2233,14,1
2550,2107,13,1
2551,2107,14,1
2552,2106,13,1
2553,2106,14,1
2554,2173,13,1
2555,2173,14,1
2556,2177,13,1
2557,2177,14,1
2558,1987,13,1
2559,1987,14,1
2560,1999,11,1
2561,1999,13,1
2562,1999,14,1
2563,2188,13,1
2564,2188,14,1
2565,2187,13,1
2566,2187,14,1
2567,2172,13,1
2568,2172,14,1
2569,1962,13,1
2570,1962,14,1
2571,1980,12,1
2572,1980,13,1
2573,1980,14,1
2574,1898,14,1
2575,2220,10,1
2576,2220,13,1
2577,2220,14,1
2578,2174,13,1
2579,2174,14,1
2580,1915,13,1
2581,1915,14,1
2582,2025,13,1
2583,2025,14,1
2584,1979,12,1
2585,2036,14,1
2586,2120,13,1
2587,2120,14,1
2588,1919,13,1
2589,1919,14,1
2590,2261,13,1
2591,2261,14,1
2592,2183,13,1
2593,2183,14,1
2594,1953,12,1
2595,1953,13,1
2596,1953,14,1
2597,1910,13,1
2598,1910,14,1
2599,1977,12,1
2600,1977,13,1
2601,1977,14,1
2602,2260,13,1
2603,2260,14,1
2604,1923,12,1
2605,2011,13,1
2606,2011,14,1
2607,2010,13,1
2608,2010,14,1
2609,1970,13,1
2610,1970,14,1
2611,2246,14,1
2612,2231,13,1
2613,2231,14,1
2614,1921,13,1
2615,1921,14,1
2616,1991,13,1
2617,1991,14,1
2618,2004,13,1
2619,2004,14,1
2620,2005,13,1
2621,2005,14,1
2622,2021,13,1
2623,2021,14,1
2624,2198,13,1
2625,2198,14,1
2626,2180,13,1
2627,2180,14,1
2628,2196,13,1
2629,2196,14,1
2632,2202,13,1
2633,2202,14,1
2634,2197,13,1
2635,2197,14,1
2636,1859,13,1
2637,1859,14,1
2638,2257,11,1
2639,2221,11,1
2640,2221,13,1
2641,2221,14,1
2642,2195,13,1
2643,2195,14,1
2644,2218,12,1
2645,2218,13,1
2646,2218,14,1
2647,2166,13,1
2648,2166,14,1
2649,1922,12,1
2650,1922,13,1
2651,1922,14,1
2652,1926,12,1
2653,1926,13,1
2654,1926,14,1
2655,1925,12,1
2656,1925,13,1
2657,1925,14,1
2658,2020,13,1
2659,2020,14,1
2660,2167,13,1
2661,2167,14,1
2662,2168,13,1
2663,2168,14,1
2664,2178,13,1
2665,2178,14,1
2666,2179,13,1
2667,2179,14,1
2668,2006,13,1
2669,2006,14,1
2670,2028,13,1
2671,2028,14,1
2672,2015,13,1
2673,2015,14,1
2674,2033,13,1
2675,2033,14,1
2676,2009,13,1
2677,2009,14,1
2678,1993,13,1
2679,1993,14,1
2680,2022,13,1
2681,2022,14,1
2682,2024,13,1
2683,2024,14,1
2684,2217,12,1
2685,2217,13,1
2686,2217,14,1
2687,2024,12,1
2688,2229,12,1
2689,2229,13,1
2690,2229,14,1
2691,2037,13,1
2692,2037,14,1
2693,2109,13,1
2694,2109,14,1
2695,2108,13,1
2696,2108,14,1
2697,1996,13,1
2698,1996,14,1
2699,1995,13,1
2700,1995,14,1
2701,2007,13,1
2702,2007,14,1
2703,2026,13,1
2704,2026,14,1
2705,2013,13,1
2706,2013,14,1
2707,2223,13,1
2708,2223,14,1
2709,2222,13,1
2710,2222,14,1
2711,2012,13,1
2712,2012,14,1
2713,2225,13,1
2714,2225,14,1
2715,2224,13,1
2716,2224,14,1
2717,2030,13,1
2718,2030,14,1
2719,2184,13,1
2720,2184,14,1
2721,1968,13,1
2722,1968,14,1
2723,1969,12,1
2724,1969,13,1
2725,1969,14,1
2726,1968,12,1
2727,1960,12,1
2728,1960,13,1
2729,1960,14,1
2730,2226,12,1
2731,2226,13,1
2732,2226,14,1
2733,2176,13,1
2734,2176,14,1
2735,2055,13,1
2736,2055,14,1
2737,2175,13,1
2738,2175,14,1
2739,2001,13,1
2740,2001,14,1
2741,2018,13,1
2742,2018,14,1
2743,2262,13,1
2744,2262,14,1
2745,2003,13,1
2746,2003,14,1
2747,2263,13,1
2748,2263,14,1
2749,2002,13,1
2750,2002,14,1
2751,1924,12,1
2752,1924,13,1
2753,1924,14,1
2754,2186,13,1
2755,2186,14,1
2757,2234,13,1
2758,2234,14,1
2759,1911,13,1
2760,1911,14,1
2761,2027,13,1
2762,2027,14,1
2763,1992,13,1
2764,1992,14,1
2765,2171,13,1
2766,2171,14,1
2767,2185,13,1
2768,2185,14,1
2769,2192,13,1
2770,2192,14,1
2771,1997,13,1
2772,1997,14,1
2773,2023,13,1
2774,2023,14,1
2775,2267,10,1
2776,2267,12,1
2777,1884,12,1
2778,2272,11,1
2781,2274,10,1
2782,2275,10,1
2783,2275,12,1
2786,2190,10,1
2787,2154,10,1
2789,2277,12,1
2790,2173,10,1
2791,1919,12,1
2792,1981,12,1
2793,2220,12,1
2794,2215,12,1
2795,2279,12,1
2796,2280,12,1
2799,2209,10,1
2802,2228,13,1
2803,2228,14,1
2804,2216,13,1
2805,2216,14,1
2806,2189,13,1
2807,2189,14,1
2808,2282,10,1
2809,2282,13,1
2810,2282,14,1
2812,2284,10,1
2813,2284,12,1
2814,2284,13,1
2815,2284,14,1
2816,2285,10,1
2817,2285,12,1
2818,2285,13,1
2819,2285,14,1
2820,2286,10,1
2821,2286,12,1
2822,2286,13,1
2823,2286,14,1
2825,2000,13,1
2826,2000,14,1
2827,2065,13,1
2828,2065,14,1
2829,1859,16,1
2830,2221,16,1
2831,2058,16,1
2832,2216,16,1
2833,2289,11,1
2834,2185,11,1
2837,2012,11,1
2838,2066,13,1
2839,2067,13,1
2840,2068,13,1
2841,2069,13,1
2842,2070,13,1
2843,2071,13,1
2844,2072,13,1
2845,2073,13,1
2846,2074,13,1
2847,2075,13,1
2848,2076,13,1
2849,2077,13,1
2850,2078,13,1
2851,2079,13,1
2852,2080,13,1
2853,2081,13,1
2854,2082,13,1
2855,2083,13,1
2856,2084,13,1
2857,2085,13,1
2858,2086,13,1
2859,2087,13,1
2860,2088,13,1
2861,2089,13,1
2862,2090,13,1
2863,2091,13,1
2864,2092,13,1
2865,2093,13,1
2866,2094,13,1
2867,2095,13,1
2869,2097,13,1
2870,2098,13,1
2871,2099,13,1
2872,2100,13,1
2873,2101,13,1
2874,2102,13,1
2876,2104,1,1
2877,2124,13,1
2878,1928,16,1
2879,2125,13,1
2880,2272,13,1
2883,2290,13,1
2884,2291,13,1
2885,2277,13,1
2886,2277,10,1
2887,2292,10,1
2888,2292,13,1
2889,2292,14,1
2890,2293,10,1
2891,2293,12,1
2892,2227,13,1
2893,2289,13,1
2894,2294,13,1
2895,2294,14,1
2896,2295,13,1
2897,2295,14,1
2898,2296,13,1
2899,2296,14,1
2900,2297,13,1
2901,2297,14,1
2902,2298,13,1
2903,2298,14,1
2904,2299,13,1
2905,2299,14,1
2906,2300,13,1
2907,2300,14,1
2908,2301,13,1
2909,2301,14,1
2910,2302,13,1
2911,2302,14,1
2912,2303,13,1
2913,2303,14,1
2914,2304,13,1
2915,2304,14,1
2916,2305,13,1
2917,2305,14,1
2918,2306,13,1
2919,2306,14,1
2920,2307,13,1
2921,2307,14,1
2922,2308,13,1
2923,2308,14,1
2924,2139,11,1
2925,2309,13,1
2926,2309,14,1
2927,2311,13,1
2928,2311,14,1
2929,2313,10,1
2930,2313,13,1
2931,2313,14,1
2932,2314,1,1
2933,2012,16,1
2934,2013,16,1
2935,2315,10,1
2936,2315,13,1
2937,2315,14,1
2938,1989,13,1
2939,1989,14,1
2940,2154,20,1
2941,2163,20,1
2942,2165,20,1
2944,2203,20,1
2945,2279,20,1
2946,2190,20,1
2947,1979,20,1
2948,1980,20,1
2949,1977,20,1
2950,2182,20,1
2951,2182,10,1
2952,2219,20,1
2953,2219,12,1
2954,1981,20,1
